course_id,title,platform,category,instructor,learning_product,level,duration,skills,rating,reviews,data_source,url,title_norm,rating_known,rating_clean,duplicate_title_platform,duplicate_title_platform_level,canonical_key,canonical_course_id,course_text,source_course_ids,source_row_count
11,"Federal Taxation I: Individuals, Employees, and Sole Proprietors",Coursera,Business,University of Illinois Urbana-Champaign,Course,Intermediate,1 - 3 Months,"Income Tax, Tax Returns, Tax Preparation, Payroll Tax, Tax Laws, Payroll, Expense Management, Depreciation, Business Valuation",4.8,10000.0,Curated,,federal taxation i individuals employees and sole proprietors,True,4.8,False,False,federal taxation i individuals employees and sole proprietors||coursera,11,"Title: Federal Taxation I: Individuals, Employees, and Sole Proprietors | Platform: Coursera | Category: Business | Level: Intermediate | Instructor: University of Illinois Urbana-Champaign | Learning Product: Course | Skills: Income Tax, Tax Returns, Tax Preparation, Payroll Tax, Tax Laws, Payroll, Expense Management, Depreciation, Business Valuation",11,1
12,Introduction to Mobile App Development,Coursera,Computer Science,IBM,Course,Beginner,1 - 4 Weeks,"Mobile Development, Mobile Development Tools, Android Development, Android Studio, Flutter (Software), Application Development, Swift Programming, Integrated Development Environments, Apple Xcode, Apple iOS, Application Frameworks, React Native, Cross Platform Development, Software Testing, Development Testing, User Interface and User Experience (UI/UX) Design, Back-End Web Development",4.7,535.0,Curated,,introduction to mobile app development,True,4.7,False,False,introduction to mobile app development||coursera,12,"Title: Introduction to Mobile App Development | Platform: Coursera | Category: Computer Science | Level: Beginner | Instructor: IBM | Learning Product: Course | Skills: Mobile Development, Mobile Development Tools, Android Development, Android Studio, Flutter (Software), Application Development, Swift Programming, Integrated Development Environments, Apple Xcode, Apple iOS, Application Frameworks, React Native, Cross Platform Development, Software Testing, Development Testing, User Interface and User Experience (UI/UX) Design, Back-End Web Development",12,1
13,Software Architecture Patterns for Big Data,Coursera,Computer Science,University of Colorado Boulder,Course,Advanced,1 - 4 Weeks,"Performance Testing, Scalability, Data Architecture, Software Architecture, Distributed Computing, Predictive Modeling, Database Architecture and Administration, Application Performance Management, Database Systems, System Design and Implementation, Test Automation",4.6,29.0,Curated,,software architecture patterns for big data,True,4.6,False,False,software architecture patterns for big data||coursera,13,"Title: Software Architecture Patterns for Big Data | Platform: Coursera | Category: Computer Science | Level: Advanced | Instructor: University of Colorado Boulder | Learning Product: Course | Skills: Performance Testing, Scalability, Data Architecture, Software Architecture, Distributed Computing, Predictive Modeling, Database Architecture and Administration, Application Performance Management, Database Systems, System Design and Implementation, Test Automation",13,1
14,Exploratory Data Analysis,Coursera,Information Technology,Johns Hopkins University,Course,Mixed,1 - 4 Weeks,"Exploratory Data Analysis, Data Visualization, Ggplot2, Dimensionality Reduction, Data Visualization Software, R Programming, Graphing, Data Storytelling, Data Analysis, Statistical Analysis, Unsupervised Learning, Statistical Methods",4.7,1300.0,Curated,,exploratory data analysis,True,4.7,False,False,exploratory data analysis||coursera,14,"Title: Exploratory Data Analysis | Platform: Coursera | Category: Information Technology | Level: Mixed | Instructor: Johns Hopkins University | Learning Product: Course | Skills: Exploratory Data Analysis, Data Visualization, Ggplot2, Dimensionality Reduction, Data Visualization Software, R Programming, Graphing, Data Storytelling, Data Analysis, Statistical Analysis, Unsupervised Learning, Statistical Methods",14,1
15,Introduction to Scrum Master Profession,Coursera,Business,SkillUp EdTech,Course,Beginner,1 - 4 Weeks,"Sprint Retrospectives, Sprint Planning, Agile Project Management, Project Management, Agile Methodology, Stakeholder Management, Employee Coaching, Communication, Analysis",4.7,651.0,Curated,,introduction to scrum master profession,True,4.7,False,False,introduction to scrum master profession||coursera,15,"Title: Introduction to Scrum Master Profession | Platform: Coursera | Category: Business | Level: Beginner | Instructor: SkillUp EdTech | Learning Product: Course | Skills: Sprint Retrospectives, Sprint Planning, Agile Project Management, Project Management, Agile Methodology, Stakeholder Management, Employee Coaching, Communication, Analysis",15,1
16,"C++ Object Basics: Functions, Recursion, and Objects",Coursera,Computer Science,Codio,Course,Intermediate,1 - 4 Weeks,"C++ (Programming Language), Object Oriented Programming (OOP), Programming Principles, Computer Programming, Software Documentation",4.8,6.0,Curated,,c object basics functions recursion and objects,True,4.8,False,False,c object basics functions recursion and objects||coursera,16,"Title: C++ Object Basics: Functions, Recursion, and Objects | Platform: Coursera | Category: Computer Science | Level: Intermediate | Instructor: Codio | Learning Product: Course | Skills: C++ (Programming Language), Object Oriented Programming (OOP), Programming Principles, Computer Programming, Software Documentation",16,1
17,How Software Ate Finance,Coursera,Business,Stanford University,Course,Mixed,1 - 3 Months,"FinTech, Payment Systems, Financial Services, Financial Market, Capital Markets, Financial Trading, Asset Management, Mobile Banking, Consumer Lending, Blockchain, Retail Banking, Banking, Financial Regulation, Investment Management, Digital Assets, Technology Strategies, Risk Management",4.7,46.0,Curated,,how software ate finance,True,4.7,False,False,how software ate finance||coursera,17,"Title: How Software Ate Finance | Platform: Coursera | Category: Business | Level: Mixed | Instructor: Stanford University | Learning Product: Course | Skills: FinTech, Payment Systems, Financial Services, Financial Market, Capital Markets, Financial Trading, Asset Management, Mobile Banking, Consumer Lending, Blockchain, Retail Banking, Banking, Financial Regulation, Investment Management, Digital Assets, Technology Strategies, Risk Management",17,1
18,Monitoring and Observability for Development and DevOps,Coursera,Computer Science,IBM,Course,Intermediate,1 - 3 Months,"Grafana, System Monitoring, Prometheus (Software), Application Performance Management, DevOps, Continuous Monitoring, Docker (Software), Cloud-Native Computing, Interactive Data Visualization, Kubernetes, Information Technology Operations, Distributed Computing",4.8,1700.0,Curated,,monitoring and observability for development and devops,True,4.8,False,False,monitoring and observability for development and devops||coursera,18,"Title: Monitoring and Observability for Development and DevOps | Platform: Coursera | Category: Computer Science | Level: Intermediate | Instructor: IBM | Learning Product: Course | Skills: Grafana, System Monitoring, Prometheus (Software), Application Performance Management, DevOps, Continuous Monitoring, Docker (Software), Cloud-Native Computing, Interactive Data Visualization, Kubernetes, Information Technology Operations, Distributed Computing",18,1
19,Functional Programming Principles in Scala,Coursera,Computer Science,École Polytechnique Fédérale de Lausanne,Course,Intermediate,1 - 3 Months,"Scala Programming, Programming Principles, Object Oriented Programming (OOP), Functional Design, Software Design Patterns, Computer Programming, Data Structures, Software Engineering, Javascript, Algorithms, Computational Thinking",4.5,780.0,Curated,,functional programming principles in scala,True,4.5,False,False,functional programming principles in scala||coursera,19,"Title: Functional Programming Principles in Scala | Platform: Coursera | Category: Computer Science | Level: Intermediate | Instructor: École Polytechnique Fédérale de Lausanne | Learning Product: Course | Skills: Scala Programming, Programming Principles, Object Oriented Programming (OOP), Functional Design, Software Design Patterns, Computer Programming, Data Structures, Software Engineering, Javascript, Algorithms, Computational Thinking",19,1
20,Moneyball and Beyond,Coursera,Data Science,University of Michigan,Course,Intermediate,1 - 3 Months,"Analytics, Data Analysis, Advanced Analytics, Statistical Analysis, Data Science, Probability & Statistics, Statistics, Python Programming, Data Manipulation",4.2,40.0,Curated,,moneyball and beyond,True,4.2,False,False,moneyball and beyond||coursera,20,"Title: Moneyball and Beyond | Platform: Coursera | Category: Data Science | Level: Intermediate | Instructor: University of Michigan | Learning Product: Course | Skills: Analytics, Data Analysis, Advanced Analytics, Statistical Analysis, Data Science, Probability & Statistics, Statistics, Python Programming, Data Manipulation",20,1
