Subject,Title,Institution,Learning Product,Level,Duration,Gained Skills,Rate,Reviews,Data_Source
Business,"Federal Taxation I: Individuals, Employees, and Sole Proprietors",University of Illinois Urbana-Champaign,Course,Intermediate,1 - 3 Months,"Income Tax, Tax Returns, Tax Preparation, Payroll Tax, Tax Laws, Payroll, Expense Management, Depreciation, Business Valuation",4.8,10000,Curated
Computer Science,Introduction to Mobile App Development,IBM,Course,Beginner,1 - 4 Weeks,"Mobile Development, Mobile Development Tools, Android Development, Android Studio, Flutter (Software), Application Development, Swift Programming, Integrated Development Environments, Apple Xcode, Apple iOS, Application Frameworks, React Native, Cross Platform Development, Software Testing, Development Testing, User Interface and User Experience (UI/UX) Design, Back-End Web Development",4.7,535,Curated
Computer Science,Software Architecture Patterns for Big Data,University of Colorado Boulder,Course,Advanced,1 - 4 Weeks,"Performance Testing, Scalability, Data Architecture, Software Architecture, Distributed Computing, Predictive Modeling, Database Architecture and Administration, Application Performance Management, Database Systems, System Design and Implementation, Test Automation",4.6,29,Curated
Information Technology,Exploratory Data Analysis,Johns Hopkins University,Course,Mixed,1 - 4 Weeks,"Exploratory Data Analysis, Data Visualization, Ggplot2, Dimensionality Reduction, Data Visualization Software, R Programming, Graphing, Data Storytelling, Data Analysis, Statistical Analysis, Unsupervised Learning, Statistical Methods",4.7,1300,Curated
Business,Introduction to Scrum Master Profession,SkillUp EdTech,Course,Beginner,1 - 4 Weeks,"Sprint Retrospectives, Sprint Planning, Agile Project Management, Project Management, Agile Methodology, Stakeholder Management, Employee Coaching, Communication, Analysis",4.7,651,Curated
Computer Science,"C++ Object Basics: Functions, Recursion, and Objects",Codio,Course,Intermediate,1 - 4 Weeks,"C++ (Programming Language), Object Oriented Programming (OOP), Programming Principles, Computer Programming, Software Documentation",4.8,6,Curated
Business,How Software Ate Finance,Stanford University,Course,Mixed,1 - 3 Months,"FinTech, Payment Systems, Financial Services, Financial Market, Capital Markets, Financial Trading, Asset Management, Mobile Banking, Consumer Lending, Blockchain, Retail Banking, Banking, Financial Regulation, Investment Management, Digital Assets, Technology Strategies, Risk Management",4.7,46,Curated
Computer Science,Monitoring and Observability for Development and DevOps,IBM,Course,Intermediate,1 - 3 Months,"Grafana, System Monitoring, Prometheus (Software), Application Performance Management, DevOps, Continuous Monitoring, Docker (Software), Cloud-Native Computing, Interactive Data Visualization, Kubernetes, Information Technology Operations, Distributed Computing",4.8,1700,Curated
Computer Science,Functional Programming Principles in Scala,École Polytechnique Fédérale de Lausanne,Course,Intermediate,1 - 3 Months,"Scala Programming, Programming Principles, Object Oriented Programming (OOP), Functional Design, Software Design Patterns, Computer Programming, Data Structures, Software Engineering, Javascript, Algorithms, Computational Thinking",4.5,780,Curated
Data Science,Moneyball and Beyond,University of Michigan,Course,Intermediate,1 - 3 Months,"Analytics, Data Analysis, Advanced Analytics, Statistical Analysis, Data Science, Probability & Statistics, Statistics, Python Programming, Data Manipulation",4.2,40,Curated
Data Science,ChatGPT + Zapier: Automate Email Replies with AI,Vanderbilt University,Course,Beginner,1 - 4 Weeks,"ChatGPT, Gmail, Google Workspace, Google Docs, Workflow Management, Automation, Business Correspondence, Customer Inquiries, Administrative Support and Clerical Tasks, Scheduling, Communication Strategies, Real Time Data",3.9,60,Curated
Data Science,Prompt Engineering,Vanderbilt University,Specialization,Beginner,1 - 3 Months,"ChatGPT, Ideation, Verification And Validation, Data Presentation, Document Management, Generative AI, Creative Thinking, Creativity, Artificial Intelligence, Risk Management Framework, OpenAI, Productivity Software, Microsoft Excel, Data Ethics, Data Analysis, Information Management, Natural Language Processing, Data Transformation, Technical Communication, Problem Solving",4.8,5600,Curated
Data Science,Convolutional Neural Networks,DeepLearning.AI,Course,Intermediate,1 - 4 Weeks,"Computer Vision, Image Analysis, Deep Learning, Artificial Neural Networks, Applied Machine Learning, Artificial Intelligence, Network Architecture, Machine Learning, Data Processing, Algorithms",4.9,42000,Curated
Computer Science,用 Python 做商管程式設計（二）(Programming for Business Computing in Python (2)),National Taiwan University,Course,Intermediate,1 - 4 Weeks,"Data Structures, Data Visualization Software, Financial Data, Financial Analysis, Data Analysis, Debugging, Programming Principles, Python Programming, Data Manipulation, Data Import/Export, File Management, Data Validation, Computer Programming",4.2,41,Curated
Business,Advanced Leadership Skills for the 21st Century,Kennesaw State University,Specialization,Intermediate,3 - 6 Months,"Leadership Development, Crisis Management, Strategic Leadership, Organizational Change, Leadership, Organizational Leadership, Leadership and Management, Team Leadership, Change Management, Diversity and Inclusion, Business Leadership, Visionary, Team Management, Team Building, Organizational Strategy, Coaching, Professional Development, Employee Performance Management, Mentorship, Overcoming Obstacles",4.5,787,Curated
Information Technology,Basic Data Processing and Visualization,University of California San Diego,Course,Intermediate,1 - 3 Months,"Data Processing, Data Manipulation, Interactive Data Visualization, Web Scraping, Data Visualization Software, Pandas (Python Package), Data Cleansing, Matplotlib, Data Import/Export, Exploratory Data Analysis, NumPy, Jupyter, JSON, Python Programming",4.3,46,Curated
Computer Science,C Programming: Modular Programming and Memory Management - 3,Dartmouth College,Course,Beginner,1 - 3 Months,"C (Programming Language), System Programming, Hardware Architecture, Computer Architecture, Embedded Software, Operating Systems, Programming Principles, Computer Programming, Program Development, Debugging",3.5,17,Curated
Computer Science,Manage Resources in Azure,Microsoft,Course,Intermediate,1 - 3 Months,"Microsoft Azure, Cloud Management, Application Deployment, Cloud Computing, Windows PowerShell, Infrastructure As A Service (IaaS), Cloud Infrastructure, Software As A Service, Virtual Machines, Platform As A Service (PaaS), Role-Based Access Control (RBAC), Command-Line Interface, Scripting",4.1,33,Curated
Computer Science,Software Architecture for Big Data,University of Colorado Boulder,Specialization,Advanced,1 - 3 Months,"Service Level, Software Engineering, Data Architecture, Web Applications, Software Architecture, Performance Testing, Scalability, Systems Architecture, Functional Requirement, Distributed Computing, Databases, Acceptance Testing, Application Deployment, Application Development, Predictive Modeling, Software Testing, System Design and Implementation, Requirements Elicitation, Transaction Processing, Database Architecture and Administration",3.9,63,Curated
Computer Science,Product Management: Initial Product Strategy and Plan,SkillUp EdTech,Course,Beginner,1 - 3 Months,"Product Lifecycle Management, Product Roadmaps, Product Management, Product Planning, New Product Development, Product Strategy, Product Development, Project Planning, Agile Product Development, Business Planning, Team Building, Competitive Analysis, Market Analysis, Marketing Strategies, Financial Analysis, Risk Analysis",4.5,106,Curated
Computer Science,Managing Linux Systems,LearnQuest,Course,Beginner,1 - 4 Weeks,"Package and Software Management, Linux Administration, Linux, System Monitoring, Linux Commands, File Systems, User Accounts, Command-Line Interface, Systems Administration, Data Storage, System Configuration, Operating Systems, Performance Tuning, Network Administration, Software Installation, Network Troubleshooting",4.2,2000,Curated
Data Science,Data Analysis with Tableau,Tableau Learning Partner,Course,Beginner,1 - 4 Weeks,"Exploratory Data Analysis, Tableau Software, Statistical Visualization, Data Analysis, Descriptive Statistics, Predictive Analytics, Data Processing, Box Plots, Statistical Analysis, Data Cleansing, Scatter Plots, Data Visualization Software, Trend Analysis, Analytics, Histogram, Data Transformation, Business Analytics, Data Manipulation, Regression Analysis, Correlation Analysis",3.7,48,Curated
Data Science,Mathematics for Machine Learning: Linear Algebra,Imperial College London,Course,Beginner,1 - 3 Months,"Linear Algebra, NumPy, Applied Mathematics, Data Transformation, Data Science, Machine Learning Methods, Algorithms, Data Manipulation, Python Programming",4.7,12000,Curated
Computer Science,Getting Started with Git and GitHub,IBM,Course,Beginner,1 - 4 Weeks,"Git (Version Control System), GitHub, Version Control, Open Source Technology, Web Development Tools, Command-Line Interface, DevOps",4.6,1600,Curated
Computer Science,Introduction to Structured Query Language (SQL),University of Michigan,Course,Intermediate,1 - 4 Weeks,"Database Design, SQL, MySQL, Relational Databases, Database Management, Databases, Data Modeling, Data Integrity, Development Environment, Software Installation",4.8,5400,Curated
Business,"High Performance Collaboration: Leadership, Teamwork, and Negotiation",Northwestern University,Course,Mixed,1 - 4 Weeks,"Leadership, Business Leadership, Negotiation, Organizational Leadership, Teamwork, Leadership Development, Leadership and Management, Team Management, Team Building, People Development, Collaboration, Professional Development, Employee Coaching, Conflict Management, Decision Making, Goal Setting",4.6,76,Curated
Business,Innovations in Investment Technology: Artificial Intelligence,University of Michigan,Course,Beginner,1 - 4 Weeks,"Design Thinking, Human Centered Design, Innovation, Growth Mindedness, Creativity, Collaboration, Dealing With Ambiguity, Empathy, Qualitative Research, Data Visualization, Active Listening",4.4,33,Curated
Data Science,Data Analysis with OpenAI API: Save time with GenAI,Coursera Project Network,Guided Project,Intermediate,Less Than 2 Hours,"Generative AI, Exploratory Data Analysis, OpenAI, Data Analysis, Data-Driven Decision-Making, Trend Analysis, Sales Strategy, Application Programming Interface (API), E-Commerce, Data Manipulation, Artificial Intelligence, Python Programming",4.5,187,Curated
Business,Social Media Marketing in Practice,Digital Marketing Institute,Specialization,Beginner,3 - 6 Months,"Social Media Marketing, Social Media, Social Media Strategy, Social Media Management, Facebook, Content Marketing, Instagram, LinkedIn, Digital Marketing, Marketing, Social Media Content, Target Audience, Content Creation, Marketing Strategies, Advertising Campaigns, Digital Content, Brand Awareness, B2B Sales, Professional Networking, Integrated Marketing Communications",4.8,141,Curated
Computer Science,Queries with OpenAI: Translate Natural Text to SQL,Coursera Project Network,Guided Project,Intermediate,Less Than 2 Hours,"SQL, ChatGPT, OpenAI, Pandas (Python Package), Query Languages, Natural Language Processing, Generative AI, Data Import/Export, Data Manipulation, Database Design, Python Programming",4.6,726,Curated
Business,Supply Chain Finance and Blockchain Technology,New York Institute of Finance,Specialization,Intermediate,3 - 6 Months,"Working Capital, Supply Chain, Supplier Management, Supply Chain Management, Supplier Relationship Management, Blockchain, FinTech, Cash Flows, Purchasing, Procurement, Customer Analysis, Financial Market, Market Opportunities, Cash Management, Market Trend, Transaction Processing, Market Dynamics, Market Analysis, Risk Modeling, Emerging Technologies",4.8,4200,Curated
