Subject,Title,Institution,Learning Product,Level,Duration,Gained Skills,Rate,Reviews,Data_Source
Business,Creating a Free Business Page with Blogger,Coursera Project Network,Guided Project,Beginner,Less Than 2 Hours,"Google Analytics, Web Analytics and SEO, Social Media Content, Promotional Strategies, Customer Engagement, Social Media, Content Marketing, Content Creation, Marketing Analytics, Web Content",4.6,185,Curated
Business,Requirements Gathering in Business Analysis,Microsoft,Course,Beginner,1 - 4 Weeks,"User Story, Business Requirements, Requirements Analysis, Requirements Elicitation, Business Analysis, User Requirements Documents, Gap Analysis, Functional Specification, Business Modeling, Process Analysis, Needs Assessment",4.8,263,Curated
Computer Science,Human-Centered Design: an Introduction,University of California San Diego,Course,Mixed,1 - 4 Weeks,"Interaction Design, Human Centered Design, Mockups, Storyboarding, User Experience Design, Design Thinking, Prototyping, Usability Testing, User Interface (UI) Design, User Research, Interviewing Skills",4.8,3500,Curated
Information Technology,OpenAI GPTs: Creating Your Own Custom AI Assistants,Vanderbilt University,Course,Beginner,1 - 4 Weeks,"Generative AI, ChatGPT, OpenAI, Personalized Service, Artificial Intelligence, Expense Management, Artificial Intelligence and Machine Learning (AI/ML), Productivity Software, Digital Transformation, Business Process Automation, Expense Reports, Innovation, Test Case, Scenario Testing, Solution Architecture",4.9,291,Curated
Business,Understanding Financial Statements: Company Position,University of Illinois Urbana-Champaign,Course,Beginner,1 - 3 Months,"Balance Sheet, Financial Statements, Financial Statement Analysis, Financial Accounting, Accounting, Equities, Financial Reporting, Generally Accepted Accounting Principles (GAAP), Cash Flows, Asset Management",4.7,3400,Curated
Computer Science,Combining Scrum with Other Agile Methodologies,LearnQuest,Course,Beginner,1 - 4 Weeks,"Behavior-Driven Development, DevSecOps, Test Driven Development (TDD), Kanban Principles, DevOps, Agile Software Development, Continuous Integration, Lean Methodologies, Agile Methodology, Continuous Deployment, Sprint Retrospectives, Cross-Functional Collaboration, Sprint Planning, Workflow Management, Virtualization",3.0,11,Curated
Information Technology,Machine Learning: Clustering & Retrieval,University of Washington,Course,Mixed,1 - 3 Months,"Unsupervised Learning, Bayesian Statistics, Applied Machine Learning, Data Mining, Statistical Machine Learning, Big Data, Statistical Inference, Dimensionality Reduction, Text Mining, Statistical Modeling, Machine Learning Algorithms, Machine Learning, Scalability, Data Structures, Distributed Computing, Probability Distribution, Algorithms",4.4,9,Curated
Information Technology,Bayesian Statistics: Mixture Models,"University of California, Santa Cruz",Course,Intermediate,1 - 3 Months,"R Programming, Statistical Modeling, Bayesian Statistics, Statistical Machine Learning, Markov Model, Statistical Methods, Probability & Statistics, Unsupervised Learning, Statistical Inference, Probability Distribution, Machine Learning Algorithms",4.7,327,Curated
Business,The Define Phase for the 6 σ Black Belt,Kennesaw State University,Course,Mixed,1 - 3 Months,"Milestones (Project Management), Goal Setting, Project Management Software, Delegation Skills, Project Planning, Databases, Project Management, Organizational Skills, Prioritization, Internal Communications",4.8,91,Curated
Business,Omnichannel Retail Strategy,University of Pennsylvania,Specialization,Beginner,1 - 3 Months,"Human Capital, Employee Retention, Workforce Development, Employee Training, Talent Management, Digital Transformation, Organizational Strategy, Human Resources, Employee Engagement, Supply Chain Management, E-Commerce, Supply Chain, Brand Strategy, Analytics, Business Analytics, Customer Insights, Brand Loyalty, Marketing Strategy and Techniques, Customer Engagement, Global Marketing",4.5,306,Curated
Data Science,Enjoyable Econometrics,Erasmus University Rotterdam,Course,Beginner,1 - 3 Months,"Econometrics, Data Collection, Probability & Statistics, Regression Analysis, Survey Creation, Statistics, Quantitative Research, Statistical Hypothesis Testing, Statistical Analysis, Forecasting, Correlation Analysis",3.9,18,Curated
Business,Finance for Non-Financial Managers,Emory University,Course,Intermediate,1 - 3 Months,"Financial Statement Analysis, Financial Statements, Financial Analysis, Income Statement, Balance Sheet, Finance, Risk Management, Financial Management, Microsoft Excel, Accounting, Return On Investment, General Finance, Cash Flows, Investments",4.8,6,Curated
Business,"Excel for Beginners: Sorting, Filtering, Data-Validation",Coursera Project Network,Guided Project,Beginner,Less Than 2 Hours,"Project Performance, Project Risk Management, Communication Planning, Change Control, Risk Analysis, Scope Management, Risk Mitigation, Change Management, Project Documentation, Stakeholder Communications, Project Closure, Communication",5.0,24,Curated
Data Science,Communicating Business Analytics Results,University of Colorado Boulder,Course,Intermediate,1 - 4 Weeks,"Data Storytelling, Data Presentation, Data Visualization, Business Analytics, Data Visualization Software, Presentations, Data-Driven Decision-Making, Data Analysis, Business Analysis, Analysis, Technical Communication",4.3,48,Curated
Computer Science,DevOps on AWS,Amazon Web Services,Specialization,Intermediate,1 - 3 Months,"AWS Identity and Access Management (IAM), Amazon CloudWatch, Infrastructure as Code (IaC), Amazon DynamoDB, Amazon Web Services, Continuous Integration, DevOps, Cloud Computing, Amazon S3, Scalability, AWS CloudFormation, Cloud Infrastructure, Amazon Elastic Compute Cloud, CI/CD, Cloud Security, Devops Tools, Continuous Deployment, Application Deployment, Development Environment, MLOps (Machine Learning Operations)",4.8,6100,Curated
Data Science,Sourcing Analytics,Rutgers the State University of New Jersey,Course,Beginner,1 - 4 Weeks,"Strategic Sourcing, Procurement, Supply Chain, Supplier Performance Management, Supplier Management, Market Intelligence, Vendor Management, Market Analysis, Business Intelligence, Competitive Analysis, Analytics, Price Negotiation, Financial Analysis",4.3,986,Curated
Computer Science,M2M & IoT Interface Design & Protocols for Embedded Systems,University of Colorado Boulder,Course,Intermediate,1 - 4 Weeks,"Internet Of Things, API Design, Amazon Web Services, Application Programming Interface (API), Network Protocols, Microservices, Cloud Applications, Cloud Platforms, Embedded Systems, Serverless Computing, Cybersecurity, Cloud Computing, Software Development, Wireless Networks",4.2,9,Curated
Business,Introduction to Business Analysis,IBM,Course,Beginner,1 - 4 Weeks,"Requirements Elicitation, Business Analysis, Requirements Analysis, Digital Transformation, Business Process, Gap Analysis, Business Requirements, Business Transformation, Stakeholder Engagement, Stakeholder Communications, Project Management, Change Management",4.7,6700,Curated
Data Science,GenAI for Business Intelligence Analysts,Coursera Instructor Network,Course,Intermediate,1 - 4 Weeks,"Business Intelligence, Generative AI, Business Analytics, Business Process Automation, Data-Driven Decision-Making, Data Ethics, OpenAI, Data Storytelling, Advanced Analytics, Exploratory Data Analysis, Interactive Data Visualization, ChatGPT, Artificial Intelligence and Machine Learning (AI/ML)",4.5,65,Curated
Data Science,Informed Clinical Decision Making using Deep Learning,University of Glasgow,Specialization,Intermediate,3 - 6 Months,"Deep Learning, Data Ethics, Clinical Data Management, Data Mining, Medical Records, Descriptive Analytics, Database Design, Electronic Medical Record, Electocardiography, Machine Learning, Health Care, Data Analysis, Patient Flow, Artificial Neural Networks, Predictive Analytics, Data Processing, Information Privacy, Classification And Regression Tree (CART), Applied Machine Learning, Image Analysis",4.6,244,Curated
Data Science,Statistics with SAS,SAS,Course,Intermediate,1 - 3 Months,"SAS (Software), Statistical Hypothesis Testing, Statistical Software, Statistical Analysis, Predictive Modeling, Statistical Programming, Statistical Modeling, Statistical Methods, Regression Analysis, Probability & Statistics, Data Analysis",4.2,1500,Curated
Computer Science,Introduction to Parallel Programming with CUDA,Johns Hopkins University,Course,Intermediate,1 - 3 Months,"Performance Tuning, Data Structures, Performance Testing, Distributed Computing, System Programming, Computational Thinking, Hardware Architecture, Algorithms, Computer Hardware, Computer Architecture, Program Development, Software Development, Debugging",4.8,9600,Curated
Information Technology,SAS Programmer,SAS,Professional Certificate,Beginner,3 - 6 Months,"Data Manipulation, SAS (Software), Data Access, Data Import/Export, Microsoft Excel, Data Analysis, Data Transformation, Exploratory Data Analysis, Data Validation, Data Cleansing, Descriptive Statistics, Statistical Programming, Data Processing, Data Integration, SQL, Data Presentation, Debugging",4.8,3500,Curated
Business,Building Your Freelancing Career Capstone,California Institute of the Arts,Course,Intermediate,1 - 3 Months,"Business Planning, Risk Management, Business Strategy, Peer Review, Financial Modeling, Entrepreneurship, Business Development, Branding, Financial Planning, Service Design, Market Analysis",4.9,92000,Curated
Business,Supply Chain Operations,Rutgers the State University of New Jersey,Course,Beginner,1 - 4 Weeks,"Lean Six Sigma, Lean Manufacturing, Manufacturing Operations, Process Improvement, Operations Management, Six Sigma Methodology, Operational Efficiency, Quality Improvement, Kanban Principles, Inventory Management System",4.8,3900,Curated
Business,Product Cost and Investment Cash Flow Analysis,University of Colorado Boulder,Course,Beginner,1 - 3 Months,"Cost Estimation, Financial Modeling, Risk Management, Finance, Accounting, Spreadsheet Software, Financial Planning, Financial Analysis, Investments, Cost Accounting, Business Mathematics, Cash Flows, Product Management",4.9,306,Curated
Data Science,Data Engineering with Rust,Duke University,Course,Intermediate,1 - 4 Weeks,"Data Pipelines, Rust (Programming Language), Restful API, Amazon Web Services, Data Structures, Data Processing, Application Programming Interface (API), Cloud Applications, Data Manipulation, Encryption, Algorithms, Command-Line Interface",4.5,1200,Curated
Data Science,Advanced Data Visualization with R,Johns Hopkins University,Course,Mixed,1 - 4 Weeks,"Rmarkdown, Tidyverse (R Package), Ggplot2, Spatial Data Analysis, Data Visualization Software, Statistical Visualization, Geospatial Information and Technology, Data Manipulation, Scatter Plots, Plotly, Interactive Data Visualization, R Programming, Data Wrangling, Correlation Analysis",5.0,7,Curated
Data Science,Relational Database Support for Data Warehouses,University of Colorado System,Course,Mixed,1 - 3 Months,"Data Warehousing, SQL, Data Governance, Data Integration, Data Management, Business Intelligence, Oracle Databases, Analytics, PostgreSQL, Data Mining, Big Data, Relational Databases, Database Management Systems, Business Analytics, Data Storage Technologies",4.8,48,Curated
Data Science,Nearest Neighbor Collaborative Filtering,University of Minnesota,Course,Mixed,1 - 3 Months,"Machine Learning Algorithms, Predictive Modeling, Applied Machine Learning, Machine Learning Methods, Data Mining, Algorithms, Performance Tuning, Scalability",4.0,21,Curated
Information Technology,Bayesian Computational Statistics,Illinois Tech,Course,Intermediate,1 - 3 Months,"Bayesian Statistics, Data Analysis, Statistical Inference, Regression Analysis, Statistical Analysis, Statistical Modeling, Statistical Programming, Advanced Analytics, R Programming, Statistical Machine Learning, Markov Model, Predictive Modeling, Probability, Simulations, Probability Distribution",4.8,6,Curated
Computer Science,Advanced Deployment Scenarios with TensorFlow,DeepLearning.AI,Course,Intermediate,1 - 4 Weeks,"Tensorflow, Application Deployment, MLOps (Machine Learning Operations), Deep Learning, Applied Machine Learning, Data Ethics, Information Privacy, Web Servers, Server Side, Application Programming Interface (API)",4.6,66,Curated
Business,Mediation and Conflict Resolution,ESSEC Business School,Course,Intermediate,1 - 3 Months,"Conflict Management, Negotiation, Diplomacy, Labor Relations, Discussion Facilitation, Stakeholder Management, Communication, Active Listening, International Relations, Analysis",4.7,145,Curated
Information Technology,IBM Generative AI Engineering,IBM,Professional Certificate,Beginner,3 - 6 Months,"Generative AI, Data Wrangling, Unit Testing, Supervised Learning, Feature Engineering, ChatGPT, Keras (Neural Network Library), Unsupervised Learning, Natural Language Processing, Data Cleansing, Jupyter, Data Analysis, Deep Learning, Data Manipulation, PyTorch (Machine Learning Library), Data Transformation, Artificial Intelligence, Data Import/Export, Data Ethics, Exploratory Data Analysis",4.6,80000,Curated
Data Science,Data Engineering in AWS,Whizlabs,Course,Beginner,1 - 4 Weeks,"Data Collection, AWS SageMaker, Feature Engineering, Amazon Web Services, Data Migration, Data Cleansing, Jupyter, Dimensionality Reduction, Data Transformation, Machine Learning, Machine Learning Algorithms",4.8,17,Curated
Business,Introduction to Program Management,IBM,Course,Beginner,1 - 4 Weeks,"Loans, Lending and Underwriting, Blockchain, General Lending, Consumer Lending, Derivatives, Credit Risk, FinTech, Financial Systems, Market Liquidity, Financial Trading, Futures Exchange, Securities (Finance), Digital Assets, Finance, Liquidation, Market Data, Transaction Processing, Asset Management, Fixed Asset",4.7,101,Curated
Information Technology,"Applied Plotting, Charting & Data Representation in Python",University of Michigan,Course,Intermediate,1 - 4 Weeks,"Matplotlib, Plot (Graphics), Data Visualization Software, Interactive Data Visualization, Scientific Visualization, Visualization (Computer Graphics), Statistical Visualization, Graphing, Scatter Plots, Data Manipulation, Histogram, NumPy, Pandas (Python Package)",4.9,298,Curated
Business,The Digital Marketing Revolution,University of Illinois Urbana-Champaign,Course,Beginner,1 - 4 Weeks,"Marketing Management, Marketing, Strategic Marketing, Marketing Strategies, Consumer Behaviour, Global Marketing, Digital Transformation, MarTech, Digital Marketing, Analysis, Business Transformation, Innovation",4.9,771,Curated
Computer Science,Continuous Inspection and Configuration Management - Jenkins,LearnKartS,Course,Intermediate,1 - 4 Weeks,"Ansible, Infrastructure as Code (IaC), Jenkins, Continuous Integration, Gradle, Configuration Management, CI/CD, Code Coverage, Devops Tools, DevOps, Build Tools, Continuous Deployment, Application Deployment, Automation, Version Control",4.6,31,Curated
Data Science,Data Visualization in R with ggplot2,Johns Hopkins University,Course,Intermediate,1 - 4 Weeks,"Ggplot2, Scatter Plots, Plot (Graphics), Data Visualization, Data Visualization Software, Heat Maps, R Programming, Graphing, Data Wrangling, Graphics Software",4.7,109,Curated
Business,Microsoft Program Management,Microsoft,Professional Certificate,Beginner,3 - 6 Months,"Earned Value Management, Stakeholder Management, Program Management, Agile Project Management, Stakeholder Engagement, Project Management Office (PMO), Agile Methodology, Project Performance, Project Schedules, Virtual Teams, Team Building, Conflict Management, Team Management, Change Management, Project Management Life Cycle, Procurement, Cost Management, Return On Investment, Project Management Institute (PMI) Methodology, Teamwork",4.6,1100,Curated
Business,Consulting Presentations and Storytelling,Emory University,Course,Beginner,1 - 3 Months,"Focus Group, Qualitative Research, Discussion Facilitation, Survey Creation, Market Research, Research, Research Design, Data Collection, Analysis, Recruitment, Research Methodologies, Interviewing Skills, Recruitment Strategies, Report Writing",4.7,73,Curated
Information Technology,Alteryx for Beginners,Packt,Course,Beginner,3 - 6 Months,"Alteryx, Spatial Analysis, Data Transformation, Data Cleansing, Data Import/Export, Data Presentation, Data Manipulation, Geographic Information Systems, Data Visualization, Data Processing, Data Wrangling, Data Mapping, Data Compilation, Data Analysis, Data Integration, Automation",4.6,99,Curated
Data Science,Generalized Linear Models and Nonparametric Regression,University of Colorado Boulder,Course,Intermediate,1 - 4 Weeks,"Statistical Modeling, R Programming, Data Analysis, Data Ethics, Statistical Methods, Regression Analysis, Mathematical Modeling, Machine Learning, Statistical Inference, Probability Distribution",4.6,120,Curated
Business,Foundations of Hotel Budgeting and Forecasting,Starweaver,Course,Beginner,1 - 3 Months,"Advanced Analytics, Budget Management, Hospitality Management, Budgeting, Financial Forecasting, Hospitality, Variance Analysis, Cost Management, Operating Budget, Financial Data, Corporate Sustainability, Revenue Management, Demand Planning, Financial Analysis, Fiscal Management, Performance Analysis, Trend Analysis, Performance Improvement, Applied Machine Learning, Key Performance Indicators (KPIs)",4.8,492,Curated
Data Science,"IBM Deep Learning with PyTorch, Keras and Tensorflow",IBM,Professional Certificate,Intermediate,3 - 6 Months,"PyTorch (Machine Learning Library), Keras (Neural Network Library), Unsupervised Learning, Reinforcement Learning, Deep Learning, Data Manipulation, Tensorflow, Verification And Validation, Generative AI, Artificial Neural Networks, Data Processing, Predictive Modeling, Applied Machine Learning, Statistical Methods, Artificial Intelligence and Machine Learning (AI/ML), Data Import/Export, Artificial Intelligence, Machine Learning, Scientific Visualization, Computer Vision",4.5,3600,Curated
Computer Science,Blockchain Revolution,INSEAD,Specialization,Beginner,3 - 6 Months,"Blockchain, Digital Assets, Peer Review, FinTech, Business Transformation, Business Leadership, Governance, Market Opportunities, Strategic Leadership, Payment Systems, Technology Strategies, Digital Transformation, Business Analysis, Business, Competitive Analysis, Strategic Thinking, Business Strategy, Emerging Technologies, Public Key Infrastructure, Cryptography",4.7,3000,Curated
Computer Science,Java Programming: Solving Problems with Software,Duke University,Course,Beginner,1 - 3 Months,"Debugging, Java, Algorithms, Program Development, Programming Principles, Statistical Analysis, Software Design, Computer Programming, Integrated Development Environments, Data Processing, Data Manipulation, Object Oriented Programming (OOP), Data Analysis, Development Environment",4.6,8000,Curated
Computer Science,Cloud Networking,University of Illinois Urbana-Champaign,Course,Mixed,1 - 3 Months,"Cloud Infrastructure, Network Architecture, Computer Networking, Network Infrastructure, General Networking, Software-Defined Networking, Cloud Computing, Virtualization, Network Routing, TCP/IP, Wide Area Networks, Data Centers, Network Performance Management, Network Switches, Virtual Machines, Scalability",4.5,159,Curated
Information Technology,Deep Learning for Computer Vision,MathWorks,Specialization,Beginner,1 - 3 Months,"Computer Vision, Anomaly Detection, Image Analysis, Matlab, Deep Learning, Artificial Neural Networks, Applied Machine Learning, Application Deployment, PyTorch (Machine Learning Library), Data Visualization, Data Cleansing, Artificial Intelligence and Machine Learning (AI/ML), Machine Learning Methods, Data Synthesis, Performance Tuning, Data Analysis, Machine Learning, Data Manipulation",4.7,561,Curated
Business,Introduction to Google SEO,"University of California, Davis",Course,Beginner,1 - 4 Weeks,"Persona Development, Search Engine Optimization, Web Analytics and SEO, Target Audience, Google Analytics, Digital Marketing, User Research, Content Strategy, Web Content, Marketing Strategy and Techniques, Social Media Strategy",4.9,17000,Curated
Data Science,Generative AI: Impact on Business and Society,University of Michigan,Course,Beginner,1 - 4 Weeks,"Consumer Behaviour, Business Risk Management, Business Operations, Risk Analysis, Generative AI, Socioeconomics, Decision Support Systems, Business Ethics, Global Marketing, Social Sciences, Artificial Intelligence, Environmental Issue, Public Safety and National Security",4.2,21,Curated
Computer Science,Coding for Everyone: C and C++,"University of California, Santa Cruz",Specialization,Beginner,3 - 6 Months,"C++ (Programming Language), Debugging, C (Programming Language), Object Oriented Programming (OOP), Object Oriented Design, Software Design Patterns, Programming Principles, Data Structures, Computer Programming, Algorithms, Command-Line Interface, Software Design, Graph Theory, Computer Science, Program Development, Computational Thinking, Artificial Intelligence, Software Technical Review, File Management",4.5,9300,Curated
Information Technology,Foundations of Local Large Language models,Duke University,Course,Beginner,1 - 4 Weeks,"Generative AI, Application Deployment, Cloud Computing, Other Programming Languages, Data Ethics, MLOps (Machine Learning Operations), Artificial Intelligence, Risk Management Framework, Natural Language Processing, Open Source Technology, Rust (Programming Language)",4.7,22,Curated
Computer Science,Input and Interaction,University of California San Diego,Course,Mixed,1 - 4 Weeks,"Human Computer Interaction, Human Factors, User Interface (UI), Usability, Interaction Design, Information Architecture, Human Machine Interfaces, User Experience Design, Prototyping",3.6,10,Curated
Computer Science,IBM Mainframe Developer,IBM,Professional Certificate,Intermediate,3 - 6 Months,"Software Development Life Cycle, Unit Testing, Systems Analysis, IBM DB2, Systems Development, Debugging, Pseudocode, Virtualization, Agile Methodology, Software Development, Test Driven Development (TDD), Program Development, Programming Principles, Report Writing, Relational Databases, Software Testing, Technical Support, Software Development Methodologies, IBM Cloud, Editing",4.6,1200,Curated
Computer Science,Scrum Master Certification,LearnQuest,Specialization,Beginner,3 - 6 Months,"User Story, Agile Methodology, Behavior-Driven Development, DevSecOps, Scaled Agile Framework, Backlogs, Agile Software Development, Test Driven Development (TDD), Sprint Planning, Kanban Principles, DevOps, Scalability, Risk Management, Agile Project Management, Continuous Integration, Lean Methodologies, Sprint Retrospectives, Continuous Deployment, Business Risk Management, Cross-Functional Collaboration",4.6,3100,Curated
Computer Science,"Parallel, Concurrent, and Distributed Programming in Java",Rice University,Specialization,Intermediate,3 - 6 Months,"Apache Kafka, Apache Spark, Apache Hadoop, Event-Driven Programming, Distributed Computing, Java Programming, Java, Software Architecture, Systems Architecture, Scala Programming, Data Structures, System Programming, Programming Principles, Object Oriented Programming (OOP), Servers, Application Frameworks, OS Process Management, Computer Programming, Algorithms, Debugging",4.6,30,Curated
Data Science,Data-driven Decision Making,PwC,Course,Beginner,1 - 4 Weeks,"Analytics, Business Analytics, Data Analysis, Data-Driven Decision-Making, Business Intelligence, Big Data, Analytical Skills, Analysis, Data Visualization, Data Science, Statistical Analysis, Data Visualization Software, Data Processing, Decision Making, Data Collection",4.6,6100,Curated
Business,Foundations of Digital Marketing and E-commerce,Google,Course,Beginner,1 - 4 Weeks,"Data Storytelling, Performance Measurement, Data-Driven Decision-Making, E-Commerce, Digital Marketing, Branding, Marketing Channel, Marketing Strategy and Techniques, Customer Analysis, Advertising, Marketing Analytics, Search Engine Marketing, Customer Engagement, Content Marketing, Brand Awareness, Search Engine Optimization, Social Media Marketing, Target Audience",4.8,21000,Curated
Computer Science,Reviews & Metrics for Software Improvements,University of Alberta,Course,Mixed,1 - 4 Weeks,"Sprint Retrospectives, Scrum (Software Development), Software Technical Review, Agile Project Management, Backlogs, Software Quality Assurance, Agile Methodology, User Story, Debugging, Issue Tracking, Usability Testing, Application Performance Management, Usability, Constructive Feedback, User Research, Meeting Facilitation",4.5,31,Curated
Data Science,Amazon Bedrock - Getting Started with Generative AI,Amazon Web Services,Course,Beginner,1 - 4 Weeks,"Generative AI, Amazon Web Services, Artificial Intelligence and Machine Learning (AI/ML), Artificial Intelligence, Application Development, Cloud API, Application Programming Interface (API)",4.8,6,Curated
Business,Building Your Freelancing Career,California Institute of the Arts,Specialization,Beginner,3 - 6 Months,"Business Planning, Competitive Analysis, Financial Data, Service Improvement, Risk Management, Tax Preparation, Business Process Automation, Business Strategy, Contract Management, Peer Review, Process Improvement, Financial Analysis, Financial Forecasting, Small Business Accounting, Client Services, Financial Modeling, Market Analysis, Project Scoping, Team Management, Tax Compliance",4.7,309,Curated
Information Technology,Data Analysis with Python,IBM,Course,Intermediate,1 - 3 Months,"Data Wrangling, Data Cleansing, Data Analysis, Data Manipulation, Data Transformation, Data Import/Export, Exploratory Data Analysis, Predictive Analytics, Statistical Analysis, Regression Analysis, Predictive Modeling, Pandas (Python Package), Scikit Learn (Machine Learning Library), Statistical Modeling, Machine Learning Methods, Feature Engineering, Python Programming, Data Pipelines, NumPy",4.7,19000,Curated
Computer Science,Automated Reasoning: satisfiability,EIT Digital,Course,Intermediate,1 - 4 Weeks,"Computational Logic, Combinatorics, Logical Reasoning, Computational Thinking, Mathematical Modeling, Operations Research, Theoretical Computer Science, Applied Mathematics, Algorithms, Linear Algebra, Verification And Validation, Arithmetic",4.7,133,Curated
Computer Science,Docker Basics for DevOps,KodeKloud,Course,Beginner,1 - 3 Months,"Docker (Software), Containerization, Application Deployment, DevOps, Linux Commands, Software Development Tools, Data Storage, Development Environment, Command-Line Interface, Computer Networking",4.6,2200,Curated
Data Science,Getting Started with Data Visualization in R,Johns Hopkins University,Course,Beginner,1 - 4 Weeks,"Rmarkdown, Data Visualization, Data Import/Export, Data Visualization Software, R Programming, Tidyverse (R Package), Statistical Reporting, Data Manipulation, Data Processing, Data Management",4.1,13,Curated
Computer Science,Building Cloud Services with the Java Spring Framework,Vanderbilt University,Course,Intermediate,1 - 4 Weeks,"Spring Framework, Object-Relational Mapping, Java, Scalability, Cloud Services, Web Services, Cloud Computing, Cloud Computing Architecture, Java Platform Enterprise Edition (J2EE), Data Security, Restful API, Application Security, Object Oriented Design, Database Design, Systems Architecture, Relational Databases, Dependency Analysis, Application Deployment, Software Architecture, Amazon DynamoDB",3.8,15,Curated
Business,Entrepreneurship: Growing Your Business,University of Virginia,Specialization,Beginner,3 - 6 Months,"Financial Statements, Financial Accounting, Balance Sheet, Financial Reporting, Financial Statement Analysis, Design Thinking, Annual Reports, Innovation, Process Design, Business Modeling, Business Process, Entrepreneurship, Philanthropy, Courage, Leadership Development, Corporate Sustainability, Stakeholder Engagement, Professional Development, Business Ethics, Organizational Leadership",4.6,44000,Curated
Data Science,Deep Learning for Computer Vision,MathWorks,Specialization,Beginner,1 - 3 Months,"Computer Vision, Anomaly Detection, Image Analysis, Matlab, Deep Learning, Artificial Neural Networks, Applied Machine Learning, Application Deployment, PyTorch (Machine Learning Library), Data Visualization, Data Cleansing, Artificial Intelligence and Machine Learning (AI/ML), Machine Learning Methods, Data Synthesis, Performance Tuning, Data Analysis, Machine Learning, Data Manipulation",4.7,561,Curated
Information Technology,"Statistical Thinking for Industrial Problem Solving, presented by JMP",SAS,Course,Beginner,1 - 3 Months,"Exploratory Data Analysis, Data Compilation, Correlation Analysis, Data Collection, Statistical Inference, Statistical Process Controls, Statistical Methods, Predictive Modeling, Data Analysis, Statistical Hypothesis Testing, Data-Driven Decision-Making, Regression Analysis, Statistical Analysis, Experimentation, Probability & Statistics, Descriptive Statistics, Interactive Data Visualization",4.9,90,Curated
Information Technology,GenAI for Fraud Detection and Compliance,Coursera Instructor Network,Course,Intermediate,1 - 4 Weeks,"Generative AI, Regulatory Compliance, Regulatory Requirements, Compliance Management, Governance, Governance Risk Management and Compliance, Risk Management, Financial Regulation, Anomaly Detection, Artificial Intelligence, Threat Detection, Artificial Intelligence and Machine Learning (AI/ML), Predictive Analytics",4.4,431,Curated
Business,Fundamentals of Finance,University of Pennsylvania,Course,Beginner,1 - 3 Months,"Capital Budgeting, Finance, Return On Investment, Equities, Corporate Finance, Financial Management, Financial Analysis, Business Valuation, Investments, Risk Analysis, Business Mathematics, Cash Flows",4.9,79,Curated
Computer Science,UX Design: From Concept to Prototype,University of Michigan,Course,Beginner,1 - 3 Months,"User Experience, User Experience Design, Prototyping, Wireframing, User Centered Design, Interaction Design, Design Thinking, Design, Usability Testing, Storyboarding, Creativity",4.3,199,Curated
Information Technology,Python Data Products for Predictive Analytics,University of California San Diego,Specialization,Intermediate,3 - 6 Months,"Supervised Learning, Feature Engineering, Predictive Modeling, Data Processing, Data Manipulation, Predictive Analytics, Interactive Data Visualization, Design Thinking, Web Scraping, Machine Learning Algorithms, Flask (Web Framework), Data Visualization Software, Scikit Learn (Machine Learning Library), Application Deployment, Data Cleansing, Data Validation, Verification And Validation, Django (Web Framework), Statistical Modeling, Web Applications",4.6,14,Curated
Business,"AI-Enhanced Copywriting: SurferSEO, Upword and Anyword",Coursera Instructor Network,Course,Beginner,1 - 4 Weeks,"Interpersonal Communications, Social Skills, Negotiation, Communication, Assertiveness, Strategic Decision-Making, Emotional Intelligence, Business Communication, Constructive Feedback, Empathy, Active Listening, Conflict Management, Verbal Communication Skills, Cultural Diversity, Relationship Building, Employee Performance Management, Intercultural Competence, Rapport Building, Decision Making, Communication Strategies",4.6,74,Curated
Computer Science,Spring - Cloud Overview,LearnQuest,Course,Intermediate,1 - 4 Weeks,"Microservices, Spring Boot, Software Architecture, API Gateway, Spring Framework, Service Oriented Architecture, Load Balancing, Cloud Computing, Cloud Services, Software Design Patterns, Restful API",4.8,290,Curated
Data Science,Doing More with SAS Programming,SAS,Course,Intermediate,1 - 3 Months,"SAS (Software), Data Manipulation, Data Transformation, Data Processing, Data Integration, Statistical Programming, Data Analysis, Data Presentation, Debugging",4.7,282,Curated
Computer Science,Building and Training Neural Networks with PyTorch,Packt,Course,Intermediate,1 - 3 Months,"PyTorch (Machine Learning Library), Artificial Neural Networks, Image Analysis, Deep Learning, Computer Vision, Classification And Regression Tree (CART), Predictive Modeling, Applied Machine Learning, Artificial Intelligence and Machine Learning (AI/ML), Supervised Learning, Machine Learning, Data Processing, Algorithms",4.4,41,Curated
Computer Science,Introduction to C++ Programming and Unreal,University of Colorado System,Course,Intermediate,1 - 4 Weeks,"Object Oriented Programming (OOP), C++ (Programming Language), Debugging, Computer Programming, Computer Programming Tools, Integrated Development Environments, Software Documentation, Virtual Environment, Data Storage, Scripting",4.5,46,Curated
Computer Science,Excel/VBA for Creative Problem Solving,University of Colorado Boulder,Specialization,Beginner,3 - 6 Months,"Excel Macros, Peer Review, Visual Basic (Programming Language), Programming Principles, Data Import/Export, Microsoft Excel, Computer Programming, Project Design, Spreadsheet Software, Simulations, Automation, Algorithms, UI Components, Debugging, Data Management, User Interface (UI), Data Cleansing, Data Validation",4.8,4700,Curated
